epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2079.51,0.08349,0.43459,0.14498,0.19673,0.89637,0.99373,1,0.99341,0.9593,0.99373,1,0.99341,0.88966,0.2284,0.28651,0.10299,0.44845,0.26077,0.00111305,0.00111305,0.00111305
69,2109.61,0.08284,0.42047,0.14234,0.19413,0.89663,0.9921,1,0.99233,0.98409,0.9921,1,0.99233,0.84989,0.17838,0.32285,0.05097,0.4243,0.2361,0.00110833,0.00110833,0.00110833
70,2139.82,0.08252,0.42085,0.13884,0.19004,0.89402,0.98979,1,0.99234,0.98861,0.98979,1,0.99234,0.85687,0.17834,0.29482,0.06101,0.29357,0.25104,0.00110362,0.00110362,0.00110362
71,2169.95,0.08395,0.41602,0.13885,0.18884,0.898,0.97809,0.99053,0.99245,0.98682,0.97809,0.99053,0.99245,0.87866,0.2678,0.28358,0.10398,0.33589,0.40844,0.0010989,0.0010989,0.0010989
72,2200.14,0.08032,0.41277,0.13857,0.18483,0.89333,0.98978,0.99679,0.99256,0.99023,0.98978,0.99679,0.99256,0.88649,0.21731,0.26806,0.13364,0.25514,0.32196,0.00109419,0.00109419,0.00109419
73,2230.43,0.08083,0.40005,0.14268,0.19351,0.89652,0.9937,1,0.99306,0.99306,0.9937,1,0.99306,0.88776,0.13042,0.28127,0.06504,0.25868,0.21468,0.00108947,0.00108947,0.00108947
74,2260.51,0.0842,0.41726,0.14193,0.19562,0.88889,0.98599,1,0.99255,0.98479,0.98599,1,0.99255,0.86941,0.13706,0.27919,0.0577,0.23634,0.23225,0.00108475,0.00108475,0.00108475
75,2290.45,0.08172,0.42757,0.13609,0.19737,0.9,0.99328,1,0.99317,0.99317,0.99328,1,0.99317,0.87865,0.11997,0.25157,0.0429,0.20386,0.18528,0.00108004,0.00108004,0.00108004
76,2320.5,0.08137,0.41518,0.14114,0.1924,0.89156,0.98225,1,0.9939,0.98662,0.98225,1,0.9939,0.87823,0.13244,0.27788,0.09514,0.18999,0.21604,0.00107532,0.00107532,0.00107532
77,2350.64,0.07835,0.39897,0.13943,0.18182,0.89683,0.99582,1,0.99315,0.9839,0.99582,1,0.99315,0.89634,0.16035,0.29939,0.16252,0.34273,0.21733,0.00107061,0.00107061,0.00107061
78,2380.65,0.08279,0.40938,0.13346,0.19602,0.89488,0.99327,1,0.99296,0.99296,0.99327,1,0.99296,0.89766,0.11626,0.23597,0.0664,0.21231,0.1978,0.00106589,0.00106589,0.00106589
79,2410.88,0.07876,0.40846,0.13347,0.19465,0.88812,0.99208,1,0.9936,0.9936,0.99208,1,0.9936,0.88852,0.14896,0.26826,0.08029,0.19956,0.23377,0.00106118,0.00106118,0.00106118
80,2440.97,0.07814,0.41121,0.13239,0.18023,0.89602,0.98538,0.99947,0.99199,0.99199,0.98538,0.99947,0.99199,0.87316,0.18769,0.30494,0.09475,0.19971,0.28783,0.00105646,0.00105646,0.00105646
81,2471.16,0.07583,0.39433,0.13125,0.17663,0.89437,0.9944,1,0.99253,0.98209,0.9944,1,0.99253,0.89267,0.17976,0.25869,0.06262,0.24856,0.28501,0.00105174,0.00105174,0.00105174
82,2501.43,0.07679,0.37783,0.13029,0.18035,0.89947,0.98969,0.99895,0.99366,0.99366,0.98969,0.99895,0.99366,0.8915,0.14486,0.25386,0.05089,0.26501,0.22374,0.00104703,0.00104703,0.00104703
83,2531.53,0.07422,0.37164,0.13045,0.17858,0.89165,0.98473,1,0.99296,0.99275,0.98473,1,0.99296,0.87915,0.17434,0.24844,0.07166,0.28074,0.25935,0.00104231,0.00104231,0.00104231
